source_id,source_layer,original_variable,standardized_variable,variable_domain,description,units,datatype,coding_or_levels,missing_convention,measurement_or_annotation_method,time_reference_or_window,target,provenance,notes
li_mcallister_shiller_tian_grigos_2026,production,vowel,vowel_label,linguistic,"Mandarin target vowel identity",IPA_or_source_label,categorical,"/u/; /y/",,experimental stimulus,"token",vowel,EXPLICIT_SOURCE_LABEL,
li_mcallister_shiller_tian_grigos_2026,production,vowel_onset,vowel_onset_s,temporal,"Vowel onset",seconds,numeric,,,Praat intensity-based proposal followed by visual inspection/manual correction,"token boundary",vowel,AUTO_THEN_MANUAL_CORRECTION,"Do not represent initial detector as manual-from-scratch"
li_mcallister_shiller_tian_grigos_2026,production,vowel_offset,vowel_offset_s,temporal,"Vowel offset",seconds,numeric,,,Praat intensity-based proposal followed by visual inspection/manual correction,"token boundary",vowel,AUTO_THEN_MANUAL_CORRECTION,
li_mcallister_shiller_tian_grigos_2026,production,F1,F1_Hz,acoustic_formant,"First formant frequency",Hz,numeric,,,Praat formant analysis; tracking visually inspected; outliers manually corrected,"vowel midpoint",vowel,MANUALLY_VERIFIED_MEASUREMENT,"Speaker- and vowel-specific LPC filter order selected by visual spectrogram alignment"
li_mcallister_shiller_tian_grigos_2026,production,F2,F2_Hz,acoustic_formant,"Second formant frequency",Hz,numeric,,,Praat formant analysis; tracking visually inspected; outliers manually corrected,"vowel midpoint",vowel,MANUALLY_VERIFIED_MEASUREMENT,
li_mcallister_shiller_tian_grigos_2026,derived,F1_Bark,F1_Bark,derived_acoustic,"F1 transformed from Hz to Bark",Bark,numeric,,,vowels package transformation,"vowel midpoint",vowel,DERIVED_FROM_VERIFIED_FORMANTS,
li_mcallister_shiller_tian_grigos_2026,derived,F2_Bark,F2_Bark,derived_acoustic,"F2 transformed from Hz to Bark",Bark,numeric,,,vowels package transformation,"vowel midpoint",vowel,DERIVED_FROM_VERIFIED_FORMANTS,
li_mcallister_shiller_tian_grigos_2026,derived,ED,production_accuracy,derived_acoustic,"Euclidean distance in F1-F2 space from height-matched Mandarin target distribution",Bark_space_distance,numeric,,,computed from token F1/F2,"token",vowel,DERIVED,"Smaller values indicate greater production accuracy"
li_mcallister_shiller_tian_grigos_2026,derived,Variability,production_variability_area,derived_acoustic,"95% elliptical area of repeated productions in F1-F2 space",Bark_space_area,numeric,,,computed across repetitions,"speaker x vowel",vowel distribution,DERIVED,"Smaller area indicates lower production variability"
li_mcallister_shiller_tian_grigos_2026,covariate,PAT,phonetic_awareness_score,behavioral_covariate,"Phonetic Awareness Task accuracy",percent_or_proportion,numeric,,,behavioral task,"speaker",participant,PRIMARY_BEHAVIORAL_COVARIATE,
li_mcallister_shiller_tian_grigos_2026,covariate,TPT_Variability,tpt_variability,behavioral_covariate,"F1-F2 elliptical area for repeated novel-vowel X production under masked feedback",formant_space_area,numeric,,,computed from 20 repetitions,"speaker",novel vowel,DERIVED_PRODUCTION_COVARIATE,
li_mcallister_shiller_tian_grigos_2026,covariate,TPT_ED,tpt_accuracy_distance,behavioral_covariate,"Median F1-F2 distance of novel vowel X from midpoint between participant /ae/ and /ɑ/ medians",formant_space_distance,numeric,,,computed from repeated productions,"speaker",novel vowel,DERIVED_PRODUCTION_COVARIATE,
li_mcallister_shiller_tian_grigos_2026,covariate,JND,auditory_jnd,perception_covariate,"Auditory acuity just-noticeable distance from AXB staircase",source_units,numeric,,,perception task,"speaker",participant,PERCEPTION_COVARIATE,"Retain linked but not as production outcome"
