source_id,file_table,original_variable,standardized_variable,variable_domain,description_meaning,units,datatype,coding_levels,missing_value_conventions,measurement_annotation_method,time_reference_window,anatomical_acoustic_target,provenance,notes
kadu_rao_marathi_vot_github,README/repository,speaker_id,speaker_id,demographic,"Native Marathi speaker identifier",,string,"F1-F4; M1-M6 identifiers visible in repository; README states 3M/3F total 6 speakers",unknown,source metadata,,participant,GitHub master,"Names embedded in some filenames are source labels; harmonized IDs must be namespaced and personal names should not be expanded."
kadu_rao_marathi_vot_github,README/repository,gender,gender,demographic,"Speaker gender reported by study",,categorical,"male; female",unknown,source metadata,,participant,GitHub master,"README states 3 male and 3 female."
kadu_rao_marathi_vot_github,README/repository,age,age_years,demographic,"Speaker age",years,numeric,"reported range 21-52",unknown,source metadata,,participant,GitHub master,"Individual ages pending workbook/report extraction."
kadu_rao_marathi_vot_github,TextGrid,word,lexical_item,lexical,"Source romanized Marathi word label",,string,source-specific,"empty intervals represent non-word regions",manual Praat annotation,absolute recording seconds,word interval,GitHub TextGrid,"Retain original spelling; do not invent IPA."
kadu_rao_marathi_vot_github,TextGrid,burst,burst_landmark,temporal,"Stop release/burst landmark used for VOT",seconds,numeric,source-specific,unknown,"manually annotated in Praat per README",absolute recording seconds,stop release,GitHub README/TextGrid,"Exact tier encoding pending exhaustive TextGrid parsing."
kadu_rao_marathi_vot_github,TextGrid,voicing_onset,voicing_onset_landmark,temporal,"Onset of vocal-fold vibration used for VOT",seconds,numeric,source-specific,unknown,"manually annotated in Praat per README",absolute recording seconds,voicing onset,GitHub README/TextGrid,"Exact tier encoding pending exhaustive TextGrid parsing."
kadu_rao_marathi_vot_github,Male vot.xlsx,VOT,vot_ms,temporal,"Calculated voice onset time",unknown,numeric,source-specific,unknown,"derived from manually marked burst and voicing onset",unknown,stop-to-voicing interval,GitHub repository,"Do not assume milliseconds until workbook/report explicitly confirms units."
kadu_rao_marathi_vot_github,README/repository,voicing,voicing_category,phonological,"Voicing category of target stop",,categorical,"voiced; voiceless",unknown,study design,,target stop,GitHub README,
kadu_rao_marathi_vot_github,README/repository,aspiration,aspiration_category,phonological,"Aspiration category of target stop",,categorical,"aspirated; unaspirated",unknown,study design,,target stop,GitHub README,
kadu_rao_marathi_vot_github,README/repository,place,place_of_articulation,phonological,"Place category of target stop",,categorical,"bilabial; dental coronal; retroflex coronal",unknown,study design,,target stop,GitHub README,
