source_id,file_table,original_variable,standardized_variable,variable_domain,description_meaning,units,datatype,coding_levels,missing_value_conventions,measurement_annotation_method,time_reference_window,anatomical_acoustic_target,provenance,notes
oocc_german_conversation_2026,10_minute_recordings_transcripts/*,segment_start,segment_start_time,temporal,"start timestamp of identified speech segment","minutes/seconds/milliseconds as source",time,"source CSV",unknown,"automatic alignment followed by manual correction by native German lab assistants","recording timeline",speech activity,"OOCC README v2",Preserve original representation and derive seconds separately only after file parse
oocc_german_conversation_2026,10_minute_recordings_transcripts/*,segment_end,segment_end_time,temporal,"end timestamp of identified speech segment","minutes/seconds/milliseconds as source",time,"source CSV",unknown,"automatic alignment followed by manual correction by native German lab assistants","recording timeline",speech activity,"OOCC README v2",Preserve original representation and derive duration separately
oocc_german_conversation_2026,10_minute_recordings_transcripts/*,speaker_label,speaker_id,demographic_linkage,"speaker associated with speech segment",categorical,string,"left/right speaker labels",unknown,"manual correction in transcript pipeline",segment,speaker,"OOCC README v2",Namespace to source_id::source_speaker_id after metadata resolution
oocc_german_conversation_2026,10_minute_recordings_transcripts/*,transcribed_speech,transcript_original,annotation,"manually corrected speech output uttered in segment",text,string,"German orthographic transcript; redacted label for sensitive material",unknown,"Whisper-based transcription followed by manual correction by native German lab assistants",segment,speech content,"OOCC README v2",Do not infer IPA
oocc_german_conversation_2026,2_minute_recordings_transcripts/*,word,lexical_item,lexical,"word token",text,string,"source orthography",unknown,"linked to manually corrected transcript/alignment pipeline",word,lexical token,"OOCC README v2",Retain original spelling
oocc_german_conversation_2026,2_minute_recordings_transcripts/*,word_timestamp,word_time,temporal,"word timestamp",source time units,numeric_or_time,"source CSV",unknown,"WhisperX alignment in pipeline with subsequent manual correction stage; file-level scope to verify",word,word boundary/timing,"OOCC README v2",Do not assert every word boundary manually adjusted until CSV/documentation audit
oocc_german_conversation_2026,2_minute_recordings_transcripts/*,word_duration,word_duration,temporal,"duration of word token",source time units,numeric,"source CSV",unknown,"derived from word timing",word,word interval,"OOCC README v2",Raw value retained
oocc_german_conversation_2026,2_minute_recordings_transcripts/*,word_frequency,lexical_frequency,lexical,"lexical frequency measure",source units,numeric,"source coding",unknown,"derived linguistic measure",word,lexical token,"OOCC README v2",Exact corpus/reference scale pending file documentation
oocc_german_conversation_2026,2_minute_recordings_transcripts/*,part_of_speech,pos,lexical,"part-of-speech tag",categorical,string,"source tagset",unknown,"derived linguistic annotation",word,lexical token,"OOCC README v2",Retain source tagset verbatim
oocc_german_conversation_2026,2_minute_recordings_transcripts/*,word_category,word_category,lexical,"source word category",categorical,string,"source levels",unknown,"derived linguistic annotation",word,lexical token,"OOCC README v2",Source-specific until documentation resolves semantics
oocc_german_conversation_2026,2_minute_recordings_transcripts/*,word_class,word_class,lexical,"source word class",categorical,string,"source levels",unknown,"derived linguistic annotation",word,lexical token,"OOCC README v2",Source-specific until documentation resolves semantics
oocc_german_conversation_2026,2_minute_recordings_transcripts/*,articulation_rate,articulation_rate,prosodic_temporal,"articulation rate for continuous speech segment",source rate units,numeric,"source values",unknown,"derived production measure",continuous speech segment,speech timing,"OOCC README v2",Exact denominator/unit pending file documentation
oocc_german_conversation_2026,2_minute_recordings_transcripts/*,acoustic_energy,acoustic_energy,acoustic,"acoustic energy for continuous speech segment",source units,numeric,"source values",unknown,"derived acoustic measure",continuous speech segment,signal energy,"OOCC README v2",Preserve raw scale
oocc_german_conversation_2026,2_minute_recordings_transcripts/*,mean_pitch,f0_mean,prosodic_acoustic,"mean pitch for continuous speech segment",source pitch units,numeric,"source values",unknown,"derived acoustic measure",continuous speech segment,F0/pitch,"OOCC README v2",Do not assume Hz until table documentation confirms
oocc_german_conversation_2026,2_minute_recordings_transcripts/*,turn,turn_event,conversation,"conversation turn event/count/timing",source event/time units,mixed,"source coding",unknown,"derived conversational measure linked to corrected speech timeline",conversation timeline,turn-taking,"OOCC README v2",Retain timestamps and durations where present
oocc_german_conversation_2026,2_minute_recordings_transcripts/*,pause,pause_event,conversation_temporal,"pause event/count/timing",source event/time units,mixed,"source coding",unknown,"derived conversational measure",conversation timeline,speech pause,"OOCC README v2",Retain event boundaries rather than summaries only
oocc_german_conversation_2026,2_minute_recordings_transcripts/*,gap,gap_event,conversation_temporal,"inter-speaker gap event/count/timing",source event/time units,mixed,"source coding",unknown,"derived conversational measure",conversation timeline,turn transition,"OOCC README v2",Retain event boundaries and durations
oocc_german_conversation_2026,2_minute_recordings_transcripts/*,overlap,overlap_event,conversation_temporal,"overlapping speech event/count/timing",source event/time units,mixed,"source coding",unknown,"derived conversational measure",conversation timeline,overlapping speech,"OOCC README v2",Retain event boundaries and durations
oocc_german_conversation_2026,2_minute_recordings_transcripts/*,floor_transfer_offset,floor_transfer_offset,conversation_temporal,"floor transfer offset",source time units,numeric,"source values",unknown,"derived conversational timing measure",turn transition,turn-taking,"OOCC README v2",Confirm sign convention from documentation
oocc_german_conversation_2026,2_minute_recordings_transcripts/*,turn_speech_rate,turn_speech_rate,prosodic_temporal,"speech rate associated with a turn",source rate units,numeric,"source values",unknown,"derived production measure",turn,speech timing,"OOCC README v2",Exact unit pending documentation
oocc_german_conversation_2026,2_minute_recordings_transcripts/*,backchannel,backchannel_event,conversation,"backchannel event/count",event/count,mixed,"source coding",unknown,"derived conversational annotation",conversation timeline,interaction,"OOCC README v2",Preserve event-level records where supplied
oocc_german_conversation_2026,2_minute_recordings_transcripts/*,question,question_event,conversation,"question event/count",event/count,mixed,"source coding",unknown,"derived conversational annotation",conversation timeline,interaction,"OOCC README v2",Preserve event-level records where supplied
