source_id,title,repository_or_publication_url,underlying_source,annotation_provenance,exclusion_code,reason,verified_date
voxangeles,VoxAngeles Corpus,https://github.com/pacscilab/voxangeles,UCLA Phonetics Lab Archive / CMU release,AUTO_THEN_ALL_CORRECTED,SECONDARY_DATABASE,"Although phone alignments are manually corrected, the recordings originate in a pre-existing phonetics archive, violating the current primary-data rule.",2026-08-27
ostrand_chodroff_2021,"It’s alignment all the way down, but not all the way up",https://pmc.ncbi.nlm.nih.gov/articles/PMC8345023/,"Primary experiment, but relevant phone boundaries from MFA",AUTO_UNVERIFIED_AT_PHONE_LEVEL,FORCED_ALIGNMENT_UNVERIFIED,Recordings were manually segmented only at utterance level; phone-level boundaries used for acoustic measurements were MFA alignments without reported exhaustive manual correction.,2026-08-27
neural_acoustic_distance_2022,Neural representations for modeling variation in speech,https://github.com/Bartelds/neural-acoustic-distance,Speech Accent Archive,VARIOUS,SECONDARY_DATABASE,Uses recordings from the pre-existing Speech Accent Archive rather than primary recordings collected for the study.,2026-08-27
voxangeles_unaudited,VoxAngeles unaudited subset,https://github.com/pacscilab/voxangeles,UCLA Phonetics Lab Archive,AUTO_UNVERIFIED,FORCED_ALIGNMENT_UNVERIFIED+SECONDARY_DATABASE,Explicitly described as force-aligned and not manually corrected; also secondary archive material.,2026-08-27
covyt,COVID-19 YouTube (COVYT) speech dataset,https://zenodo.org/records/6962930,YouTube/Xiaohongshu videos,MANUAL_UTTERANCE_SEGMENTATION,SECONDARY_MEDIA,"Manual segmentation is present, but recordings were mined from third-party social-media videos rather than collected as primary research production data.",2026-08-27
podcastfillers,PodcastFillers,https://zenodo.org/records/7121457,SoundCloud podcasts,MANUAL_EVENT_ANNOTATION,SECONDARY_MEDIA,"Manual filler/event annotations are strong, but audio is pre-existing third-party podcast material.",2026-08-27
buckeye_moredata,Computed values for existing corpora / Buckeye-derived resources,https://github.com/ucpresearch/moredata,Buckeye Corpus,MIXED,SECONDARY_DATABASE,Derived measurements from the pre-existing Buckeye Corpus; not primary production data.,2026-08-27
clopper_burdin_turnbull_2023_duplicate,Second dialect acquisition and phonetic vowel reduction in the American Midwest,https://osf.io/6jnds/,Ohio State Stories Corpus,HAND_CORRECTED_SOURCE_CORPUS,DUPLICATE_SECONDARY_ANALYSIS,Study reuses the Ohio State Stories Corpus. The original corpus is indexed once; paper-specific derivative files are not treated as a new independent source.,2026-08-27
cole_hualde_smith_2019,Prominence/boundary perception study in Journal of Phonetics,https://bpb-us-e1.wpmucdn.com/sites.northwestern.edu/dist/f/1603/files/2019/06/Cole_Hualde_Smith_etal_JPhon_2019.pdf,Buckeye and Corpus de Français Parlé Parisien among sources,MANUAL_CORRECTION_MIXED,SECONDARY_DATABASE,"Even where TextGrids were manually corrected, the recordings came from established external corpora.",2026-08-27
spice_corpus_forced_alignment,SpiCE Corpus phone/word tiers,https://spice-corpus.readthedocs.io/en/latest/transcription/,Primary Cantonese-English recordings,AUTO_COARSELY_INSPECTED,FORCED_ALIGNMENT_UNVERIFIED,"Orthographic transcripts were hand-corrected, but phone and word tiers were produced by Montreal Forced Aligner and documentation explicitly says inspection was coarse and involved no manual correction of those tiers.",2026-08-28
