source_id,file_table,original_variable,standardized_variable,variable_domain,description,units,datatype,coding_levels,missing_convention,measurement_annotation_method,time_reference_window,anatomical_acoustic_target,provenance,notes
greca_gubian_harrington_2024_lausberg,"data.RData (schema pending)","[unresolved exact field] speaker",speaker_id,speaker,"source speaker identifier",,string,,,source metadata,,speaker,documented,"Exact RData field name must be preserved when archive is parsed; namespace as source_id::source_speaker_id"
greca_gubian_harrington_2024_lausberg,"data.RData (schema pending)","[unresolved exact field] region",variety_region,language,"Lausberg study region/variety",,categorical,"MM; West; East (paper labels)",,source metadata,,variety,documented,"Retain source labels; do not impose dialect mapping beyond paper"
greca_gubian_harrington_2024_lausberg,"words and phontrig.csv / data.RData","[unresolved exact field] stem",lexical_stem_original,lexical,"lexical stem identifier/representation",,string,,,author stimulus metadata,,lexical item,documented,"Retain original transcription; no invented IPA"
greca_gubian_harrington_2024_lausberg,"words and phontrig.csv / data.RData","[unresolved exact field] stem vowel",stem_vowel_original,segment,"target stem vowel category",,categorical,"/e/; /o/ for main analysis; /i a u/ also elicited for normalization",,author stimulus metadata,,vowel,documented,"Exact source encoding pending archive parse"
greca_gubian_harrington_2024_lausberg,"words and phontrig.csv / data.RData","[unresolved exact field] suffix vowel",suffix_vowel_original,context,"suffix-vowel category",,categorical,"/a/; /e/; /i/; /u/",,author stimulus metadata,,following vowel,documented,"Preserve suffix identity separately from metaphony coding"
greca_gubian_harrington_2024_lausberg,"wordscons.txt / data.RData","[unresolved exact field] preceding consonant",preceding_segment_original,context,"consonant preceding the suffix vowel",,string,,,author lookup,,segment context,documented,"Do not IPA-normalize until explicit mapping is verified"
greca_gubian_harrington_2024_lausberg,"data.RData (schema pending)","[unresolved exact field] F1 raw trajectory",f1_hz,acoustic,"raw first-formant trajectory",Hz,numeric,,,Praat formant tracker via PraatR,"25 ms analysis window; 5 ms frame shift; source trajectory normalized to 11 equally spaced points between acoustic vowel onset and offset",first formant,AUTO_THEN_MANUALLY_CORRECTED,"About 40% of data manually corrected for boundary/formant errors; preserve raw and normalized values separately"
greca_gubian_harrington_2024_lausberg,"data.RData (schema pending)","[unresolved exact field] F2 raw trajectory",f2_hz,acoustic,"raw second-formant trajectory",Hz,numeric,,,Praat formant tracker via PraatR,"25 ms analysis window; 5 ms frame shift; source trajectory normalized to 11 equally spaced points between acoustic vowel onset and offset",second formant,AUTO_THEN_MANUALLY_CORRECTED,"About 40% manually corrected for boundary/formant errors"
greca_gubian_harrington_2024_lausberg,"data.RData (schema pending)","[unresolved exact field] normalized time",normalized_time,temporal,"trajectory position after source linear time normalization",proportion,numeric,"11 equally spaced source points",,linear time normalization,"acoustic vowel onset=0; offset=1",vowel interval,derived-source,"Do not collapse trajectories to midpoint"
greca_gubian_harrington_2024_lausberg,"data.RData (schema pending)","[unresolved exact field] Lobanov F1",f1_lobanov,acoustic,"speaker-normalized F1",SD,numeric,,,Lobanov normalization using speaker /a i u/ stem-vowel formants,"per trajectory time point",first formant,derived-source,"Keep alongside raw Hz values, never overwrite"
greca_gubian_harrington_2024_lausberg,"data.RData (schema pending)","[unresolved exact field] Lobanov F2",f2_lobanov,acoustic,"speaker-normalized F2",SD,numeric,,,Lobanov normalization using speaker /a i u/ stem-vowel formants,"per trajectory time point",second formant,derived-source,"Keep alongside raw Hz values"
greca_gubian_harrington_2024_lausberg,"data.RData (schema pending)","[unresolved exact field] acoustic onset",segment_start_s,temporal,"stem-vowel acoustic onset",s,numeric,,,MAUS alignment with manual correction where misplaced,absolute recording time,vowel boundary,AUTO_THEN_MANUALLY_CORRECTED,"Exact RData field pending"
greca_gubian_harrington_2024_lausberg,"data.RData (schema pending)","[unresolved exact field] acoustic offset",segment_end_s,temporal,"stem-vowel acoustic offset",s,numeric,,,MAUS alignment with manual correction where misplaced,absolute recording time,vowel boundary,AUTO_THEN_MANUALLY_CORRECTED,"Exact RData field pending"
greca_gubian_harrington_2024_lausberg,"data.RData / FPCA outputs (schema pending)","[unresolved exact field] FPCA score",source_specific_fpca_score,derived,"functional principal-component score(s) used to characterize formant trajectory shape",,numeric,,,functional PCA over time-varying F1/F2 trajectories,whole normalized trajectory,formant trajectory,derived-source,"Retain all source component scores/eigenfunctions once parsed; do not reduce to current hypotheses"
