source_id,analysis_domain,default_pool,speaker_n,language,audio_status,context_status,trajectory_status,event_status,VV_CARRYOVER,VV_ANTICIPATORY,CV_PLACE,VC_EFFECT,NASAL,LARYNGEAL,VOT_VOWEL,LABIALIZATION,RHOTIC_LATERAL,TEMPORAL,notes
twi_vowel_harmony_2026,SPEECH,TRUE,UNKNOWN,Twi,UNKNOWN,TARGET_VOWEL_ONLY,MIDPOINT_ONLY,VOWEL_BOUNDARIES,NOT_SUPPORTED,NOT_SUPPORTED,NOT_SUPPORTED,NOT_SUPPORTED,NOT_SUPPORTED,NOT_SUPPORTED,NOT_SUPPORTED,NOT_SUPPORTED,NOT_SUPPORTED,READY,"Manual target-vowel intervals support duration; current registry does not establish reusable adjacent-phone context or trajectories."
swehvd_2023_2024,SPEECH,TRUE,48,Swedish,YES,FIXED_HVD,F1_F3_TRAJECTORIES,VOWEL_BOUNDARIES,NOT_SUPPORTED,NOT_SUPPORTED,NOT_SUPPORTED,NOT_SUPPORTED,NOT_SUPPORTED,NOT_SUPPORTED,NOT_SUPPORTED,NOT_SUPPORTED,NOT_SUPPORTED,READY,"Excellent trajectory data but the fixed hVd frame does not supply contextual variation needed for the other nine phenomena."
ccost_2026,SPEECH,TRUE,49,Standard Thai,YES,MANUAL_PHONE_CONTEXT,NONE,MANUAL_PHONE_BOUNDARIES,REEXTRACT,REEXTRACT,REEXTRACT,REEXTRACT,REEXTRACT,REEXTRACT,REEXTRACT,REEXTRACT,REEXTRACT,READY,"Highest-priority general source: audio plus manually corrected phone alignment allow standardized acoustic re-extraction."
pavoque,SPEECH,TRUE,1,German,YES,MANUAL_PHONE_CONTEXT,NONE,MANUAL_PHONE_BOUNDARIES,REEXTRACT,REEXTRACT,REEXTRACT,REEXTRACT,REEXTRACT,REEXTRACT,REEXTRACT,REEXTRACT,REEXTRACT,READY,"Broad re-extraction potential but only one speaker, so it cannot identify speaker-level variance by itself."
ohio_state_stories,SPEECH,TRUE,45,American English,YES,TARGET_VOWEL_MANUAL_CONTEXT_NEEDS_MAPPING,NONE,MANUAL_TARGET_VOWEL_BOUNDARIES,POSSIBLE,POSSIBLE,POSSIBLE,POSSIBLE,POSSIBLE,POSSIBLE,POSSIBLE,POSSIBLE,POSSIBLE,READY,"Target-vowel boundaries are hand-corrected; adjacent-phone predictors must be mapped without treating unverified forced-aligned boundaries as manual evidence."
schertz_adil_kravchuk_2023,SPEECH,TRUE,42,English,UNKNOWN,TARGET_STOP_VOWEL,NONE,MANUAL_BURST_VOICING_ONSET_VOWEL_OFFSET,NOT_SUPPORTED,NOT_SUPPORTED,NOT_SUPPORTED,NOT_SUPPORTED,NOT_SUPPORTED,POSSIBLE,READY,NOT_SUPPORTED,NOT_SUPPORTED,READY,"Manual burst, periodicity-onset and vowel-offset landmarks make this immediately useful for VOT/temporal analysis."
oschkinat_reinisch_hoole_2026,SPEECH,TRUE,UNKNOWN,German,UNKNOWN,SEGMENT_DURATION_CONTEXT,NONE,HAND_CORRECTED_BOUNDARIES,NOT_SUPPORTED,NOT_SUPPORTED,NOT_SUPPORTED,NOT_SUPPORTED,NOT_SUPPORTED,NOT_SUPPORTED,NOT_SUPPORTED,NOT_SUPPORTED,NOT_SUPPORTED,READY,"Current validated tier is segment timing."
jingju_acappella_primary_subset,SINGING,FALSE,UNKNOWN,Mandarin/Jingju,YES,MANUAL_PHONE_CONTEXT,NONE,MANUAL_PHONE_BOUNDARIES,SPECIALIZED,SPECIALIZED,SPECIALIZED,SPECIALIZED,SPECIALIZED,SPECIALIZED,SPECIALIZED,SPECIALIZED,SPECIALIZED,SPECIALIZED,"Legacy registry entry for the same JaCRC resource represented more precisely by jingju_jacrc_primary_manual_2022; never double count."
mrpl2_2026,L2_SPEECH,FALSE,23,Non-native English,RESTRICTED,RESTRICTED,UNKNOWN,MANUAL_ERROR_LABELS,RESTRICTED,RESTRICTED,RESTRICTED,RESTRICTED,RESTRICTED,RESTRICTED,RESTRICTED,RESTRICTED,RESTRICTED,RESTRICTED,"Metadata-only until file access and primary-collection details are resolved."
mitra_dutta_2023_bengali_english,BILINGUAL_SPEECH,TRUE,10,Bengali; Indian English,UNKNOWN,TARGET_WORD_CONTEXT,F1_F2_EARLY_TRAJECTORY,VOWEL_BOUNDARIES,NOT_SUPPORTED,NOT_SUPPORTED,POSSIBLE,NOT_SUPPORTED,NOT_SUPPORTED,NOT_SUPPORTED,NOT_SUPPORTED,POSSIBLE,POSSIBLE,READY,"Five early-vowel F1/F2 samples are useful for contextual onset effects if source word/phone context is mapped."
