source_id,path,sheet,original_variable,standardized_variable,variable_domain,description,units,dtype,coding_levels,missing_value_conventions,measurement_annotation_method,time_reference_window,acoustic_or_annotation_target,provenance,notes,n_nonmissing,n_unique
schertz_adil_kravchuk_2023,data.zip::macro_perception.txt,table,sub,speaker_id,speaker,Source speaker identifier,,str,S01 | S02 | S03 | S04 | S05 | S06 | S07 | S08,NA/blank as parsed; preserve source conventions,See Schertz et al. (2023); production VOT/vowel landmarks manually annotated,source-defined; not inferred where undocumented,speaker,OSF zve4c data.zip; source-faithful variable inventory,Do not combine macro and micro VOT units without source-specific harmonization.,4032,42
schertz_adil_kravchuk_2023,data.zip::macro_perception.txt,table,session,session,condition,Experimental session,,int64,2 | 1,NA/blank as parsed; preserve source conventions,See Schertz et al. (2023); production VOT/vowel landmarks manually annotated,source-defined; not inferred where undocumented,experiment,OSF zve4c data.zip; source-faithful variable inventory,Do not combine macro and micro VOT units without source-specific harmonization.,4032,2
schertz_adil_kravchuk_2023,data.zip::macro_perception.txt,table,trial,trial_index,trial,Trial index,,int64,33 | 38 | 8 | 41 | 6 | 43 | 39 | 44,NA/blank as parsed; preserve source conventions,See Schertz et al. (2023); production VOT/vowel landmarks manually annotated,source-defined; not inferred where undocumented,experiment,OSF zve4c data.zip; source-faithful variable inventory,Do not combine macro and micro VOT units without source-specific harmonization.,4032,48
schertz_adil_kravchuk_2023,data.zip::macro_perception.txt,table,choice,choice,perception,Perception-task response,,str,f | j,NA/blank as parsed; preserve source conventions,See Schertz et al. (2023); production VOT/vowel landmarks manually annotated,source-defined; not inferred where undocumented,response,OSF zve4c data.zip; source-faithful variable inventory,Do not combine macro and micro VOT units without source-specific harmonization.,4032,2
schertz_adil_kravchuk_2023,data.zip::macro_perception.txt,table,answer,correct_answer,perception,Perception-task correct answer,,str,f | j,NA/blank as parsed; preserve source conventions,See Schertz et al. (2023); production VOT/vowel landmarks manually annotated,source-defined; not inferred where undocumented,response,OSF zve4c data.zip; source-faithful variable inventory,Do not combine macro and micro VOT units without source-specific harmonization.,4032,2
schertz_adil_kravchuk_2023,data.zip::macro_perception.txt,table,correct,accuracy,perception,Perception-task correctness,,int64,1 | 0,NA/blank as parsed; preserve source conventions,See Schertz et al. (2023); production VOT/vowel landmarks manually annotated,source-defined; not inferred where undocumented,response,OSF zve4c data.zip; source-faithful variable inventory,Do not combine macro and micro VOT units without source-specific harmonization.,4032,2
schertz_adil_kravchuk_2023,data.zip::macro_perception.txt,table,stimA,stimulus_reference,stimulus,Stimulus file/reference,,str,MS_exp1_normal_T4.mp3 | MS_exp1_normal_T8.mp3 | MS_exp1_normal_T11.mp3 | MS_exp1_normal_T13.mp3,NA/blank as parsed; preserve source conventions,See Schertz et al. (2023); production VOT/vowel landmarks manually annotated,source-defined; not inferred where undocumented,stimulus,OSF zve4c data.zip; source-faithful variable inventory,Do not combine macro and micro VOT units without source-specific harmonization.,4032,4
schertz_adil_kravchuk_2023,data.zip::macro_perception.txt,table,stimB,stimulus_reference,stimulus,Stimulus file/reference,,str,MS_exp1_long_T13.mp3 | MS_exp1_long_T11.mp3 | MS_exp1_short_T8.mp3 | MS_exp1_short_T4.mp3,NA/blank as parsed; preserve source conventions,See Schertz et al. (2023); production VOT/vowel landmarks manually annotated,source-defined; not inferred where undocumented,stimulus,OSF zve4c data.zip; source-faithful variable inventory,Do not combine macro and micro VOT units without source-specific harmonization.,4032,4
schertz_adil_kravchuk_2023,data.zip::macro_perception.txt,table,stimX,stimulus_reference,stimulus,Stimulus file/reference,,str,MS_exp1_normal_T4.mp3 | MS_exp1_short_T4.mp3 | MS_exp1_long_T4.mp3 | MS_exp1_normal_T8.mp3 | MS_exp1_short_T8.mp3 | MS_exp1_long_T8.mp3 | MS_exp1_normal_T11.mp3 | MS_exp1_short_T11.mp3,NA/blank as parsed; preserve source conventions,See Schertz et al. (2023); production VOT/vowel landmarks manually annotated,source-defined; not inferred where undocumented,stimulus,OSF zve4c data.zip; source-faithful variable inventory,Do not combine macro and micro VOT units without source-specific harmonization.,4032,12
schertz_adil_kravchuk_2023,data.zip::macro_perception.txt,table,senID,sentence_id,stimulus,Sentence identifier,,str,sen1 | sen8 | sen9 | sen16 | sen2 | sen6 | sen13 | sen4,NA/blank as parsed; preserve source conventions,See Schertz et al. (2023); production VOT/vowel landmarks manually annotated,source-defined; not inferred where undocumented,utterance,OSF zve4c data.zip; source-faithful variable inventory,Do not combine macro and micro VOT units without source-specific harmonization.,4032,8
schertz_adil_kravchuk_2023,data.zip::macro_perception.txt,table,senX,sentence_metadata,stimulus,Sentence/stimulus metadata,,str,sen1 | sen8 | sen9 | sen16 | sen2 | sen6 | sen13 | sen4,NA/blank as parsed; preserve source conventions,See Schertz et al. (2023); production VOT/vowel landmarks manually annotated,source-defined; not inferred where undocumented,utterance,OSF zve4c data.zip; source-faithful variable inventory,Do not combine macro and micro VOT units without source-specific harmonization.,4032,8
schertz_adil_kravchuk_2023,data.zip::macro_perception.txt,table,accentType,accenttype,condition,Experimental condition variable,,str,long | short,NA/blank as parsed; preserve source conventions,See Schertz et al. (2023); production VOT/vowel landmarks manually annotated,source-defined; not inferred where undocumented,experiment,OSF zve4c data.zip; source-faithful variable inventory,Do not combine macro and micro VOT units without source-specific harmonization.,4032,2
schertz_adil_kravchuk_2023,data.zip::macro_perception.txt,table,talkerB,stimulus_talker,stimulus,Stimulus talker identifier,,str,T13 | T11 | T8 | T4,NA/blank as parsed; preserve source conventions,See Schertz et al. (2023); production VOT/vowel landmarks manually annotated,source-defined; not inferred where undocumented,stimulus,OSF zve4c data.zip; source-faithful variable inventory,Do not combine macro and micro VOT units without source-specific harmonization.,4032,4
schertz_adil_kravchuk_2023,data.zip::macro_perception.txt,table,talkerX,stimulus_talker,stimulus,Stimulus talker identifier,,str,T4 | T8 | T11 | T13,NA/blank as parsed; preserve source conventions,See Schertz et al. (2023); production VOT/vowel landmarks manually annotated,source-defined; not inferred where undocumented,stimulus,OSF zve4c data.zip; source-faithful variable inventory,Do not combine macro and micro VOT units without source-specific harmonization.,4032,4
schertz_adil_kravchuk_2023,data.zip::macro_perception.txt,table,senMatch,senmatch,condition,Experimental condition variable,,bool,True | False,NA/blank as parsed; preserve source conventions,See Schertz et al. (2023); production VOT/vowel landmarks manually annotated,source-defined; not inferred where undocumented,experiment,OSF zve4c data.zip; source-faithful variable inventory,Do not combine macro and micro VOT units without source-specific harmonization.,4032,2
schertz_adil_kravchuk_2023,data.zip::macro_perception.txt,table,talkerMatch,talkermatch,condition,Experimental condition variable,,bool,False | True,NA/blank as parsed; preserve source conventions,See Schertz et al. (2023); production VOT/vowel landmarks manually annotated,source-defined; not inferred where undocumented,experiment,OSF zve4c data.zip; source-faithful variable inventory,Do not combine macro and micro VOT units without source-specific harmonization.,4032,2
schertz_adil_kravchuk_2023,data.zip::macro_perception.txt,table,group,experimental_group,speaker,Source experimental group,,str,aardvark | centaur | dinosaur,NA/blank as parsed; preserve source conventions,See Schertz et al. (2023); production VOT/vowel landmarks manually annotated,source-defined; not inferred where undocumented,speaker,OSF zve4c data.zip; source-faithful variable inventory,Do not combine macro and micro VOT units without source-specific harmonization.,4032,3
schertz_adil_kravchuk_2023,data.zip::macro_production.txt,table,sub,speaker_id,speaker,Source speaker identifier,,str,S01 | S11 | S05 | S28 | S41 | S20 | S34 | S07,NA/blank as parsed; preserve source conventions,See Schertz et al. (2023); production VOT/vowel landmarks manually annotated,source-defined; not inferred where undocumented,speaker,OSF zve4c data.zip; source-faithful variable inventory,Do not combine macro and micro VOT units without source-specific harmonization.,5219,42
schertz_adil_kravchuk_2023,data.zip::macro_production.txt,table,stopID,stop_id,token,Source stop token identifier,,str,sen1_stop1_k | sen4_stop1_k | sen6_stop1_k | sen8_stop1_k | sen9_stop1_k | sen13_stop1_k | sen16_stop1_k | sen2_stop1_k,NA/blank as parsed; preserve source conventions,See Schertz et al. (2023); production VOT/vowel landmarks manually annotated,source-defined; not inferred where undocumented,stop,OSF zve4c data.zip; source-faithful variable inventory,Do not combine macro and micro VOT units without source-specific harmonization.,5219,16
schertz_adil_kravchuk_2023,data.zip::macro_production.txt,table,seg,target_segment_label,segment,Target stop segment label,,str,k | t | p,NA/blank as parsed; preserve source conventions,See Schertz et al. (2023); production VOT/vowel landmarks manually annotated,source-defined; not inferred where undocumented,stop,OSF zve4c data.zip; source-faithful variable inventory,Do not combine macro and micro VOT units without source-specific harmonization.,5219,3
schertz_adil_kravchuk_2023,data.zip::macro_production.txt,table,senID,sentence_id,stimulus,Sentence identifier,,str,sen1 | sen4 | sen6 | sen8 | sen9 | sen13 | sen16 | sen2,NA/blank as parsed; preserve source conventions,See Schertz et al. (2023); production VOT/vowel landmarks manually annotated,source-defined; not inferred where undocumented,utterance,OSF zve4c data.zip; source-faithful variable inventory,Do not combine macro and micro VOT units without source-specific harmonization.,5219,8
schertz_adil_kravchuk_2023,data.zip::macro_production.txt,table,tgID,source_specific,source_specific,,,,int64,21 | 16 | 8 | 1 | 11 | 6 | 13 | 4,NA/blank as parsed; preserve source conventions,See Schertz et al. (2023); production VOT/vowel landmarks manually annotated,source-defined; not inferred where undocumented,,OSF zve4c data.zip; source-faithful variable inventory,Do not combine macro and micro VOT units without source-specific harmonization.,5219,8
schertz_adil_kravchuk_2023,data.zip::macro_production.txt,table,stimlist,stimulus_list,condition,Stimulus list assignment,,str,stimlist3 | stimlist2 | stimlist1 | stimlist4,NA/blank as parsed; preserve source conventions,See Schertz et al. (2023); production VOT/vowel landmarks manually annotated,source-defined; not inferred where undocumented,experiment,OSF zve4c data.zip; source-faithful variable inventory,Do not combine macro and micro VOT units without source-specific harmonization.,5219,4
schertz_adil_kravchuk_2023,data.zip::macro_production.txt,table,session,session,condition,Experimental session,,int64,2 | 1,NA/blank as parsed; preserve source conventions,See Schertz et al. (2023); production VOT/vowel landmarks manually annotated,source-defined; not inferred where undocumented,experiment,OSF zve4c data.zip; source-faithful variable inventory,Do not combine macro and micro VOT units without source-specific harmonization.,5219,2
schertz_adil_kravchuk_2023,data.zip::macro_production.txt,table,rep,repetition,trial,Repetition index,,int64,2 | 4 | 1 | 3,NA/blank as parsed; preserve source conventions,See Schertz et al. (2023); production VOT/vowel landmarks manually annotated,source-defined; not inferred where undocumented,experiment,OSF zve4c data.zip; source-faithful variable inventory,Do not combine macro and micro VOT units without source-specific harmonization.,5219,4
schertz_adil_kravchuk_2023,data.zip::macro_production.txt,table,vot,voice_onset_time,temporal,Voice onset time; source tables use different scales and are not harmonized here,seconds_or_ms_source_dependent,float64,0.0839834539803379 | 0.0962408802546074 | 0.0819589009263733 | 0.0937139080785356 | 0.0927048942208376 | 0.1019454954232333 | 0.0935287044898715 | 0.0925039928349515,NA/blank as parsed; preserve source conventions,See Schertz et al. (2023); production VOT/vowel landmarks manually annotated,source-defined; not inferred where undocumented,stop,OSF zve4c data.zip; source-faithful variable inventory,Do not combine macro and micro VOT units without source-specific harmonization.,5219,5219
schertz_adil_kravchuk_2023,data.zip::macro_production.txt,table,vDur,vowel_duration,temporal,Following vowel duration,seconds,float64,0.1638163265306122 | 0.122726757369615 | 0.1313953488372093 | 0.1503636363636363 | 0.1255442176870748 | 0.1385496183206107 | 0.1138775510204081 | 0.1382993197278911,NA/blank as parsed; preserve source conventions,See Schertz et al. (2023); production VOT/vowel landmarks manually annotated,source-defined; not inferred where undocumented,vowel,OSF zve4c data.zip; source-faithful variable inventory,Do not combine macro and micro VOT units without source-specific harmonization.,5219,5219
schertz_adil_kravchuk_2023,data.zip::macro_production.txt,table,f0.mean,f0_mean,acoustic,Mean F0 over measured vowel interval,Hz,float64,118.490164712488 | 108.112238179953 | 249.74964181206 | 113.565573650829 | 192.090781604136 | 97.1958584108236 | 110.440674555789 | 98.809020776481,NA/blank as parsed; preserve source conventions,See Schertz et al. (2023); production VOT/vowel landmarks manually annotated,source-defined; not inferred where undocumented,vowel,OSF zve4c data.zip; source-faithful variable inventory,Do not combine macro and micro VOT units without source-specific harmonization.,5219,5219
schertz_adil_kravchuk_2023,data.zip::macro_production.txt,table,group,experimental_group,speaker,Source experimental group,,str,aardvark | centaur | dinosaur,NA/blank as parsed; preserve source conventions,See Schertz et al. (2023); production VOT/vowel landmarks manually annotated,source-defined; not inferred where undocumented,speaker,OSF zve4c data.zip; source-faithful variable inventory,Do not combine macro and micro VOT units without source-specific harmonization.,5219,3
schertz_adil_kravchuk_2023,data.zip::macro_production.txt,table,votAccent,vot_accent,condition,VOT accent category,,str,normal | modified,NA/blank as parsed; preserve source conventions,See Schertz et al. (2023); production VOT/vowel landmarks manually annotated,source-defined; not inferred where undocumented,experiment,OSF zve4c data.zip; source-faithful variable inventory,Do not combine macro and micro VOT units without source-specific harmonization.,5219,2
schertz_adil_kravchuk_2023,data.zip::macro_production.txt,table,f0.st,f0_st,acoustic,F0 represented in semitones as supplied,semitones,float64,2.937208280068 | 1.35035798686569 | 15.8457907974271 | 2.20230698411656 | 11.3014588463564 | -0.493780128455002 | 1.71531386653138 | 0.122707492016804,NA/blank as parsed; preserve source conventions,See Schertz et al. (2023); production VOT/vowel landmarks manually annotated,source-defined; not inferred where undocumented,vowel,OSF zve4c data.zip; source-faithful variable inventory,Do not combine macro and micro VOT units without source-specific harmonization.,5219,5219
schertz_adil_kravchuk_2023,data.zip::macro_production.txt,table,votManip,vot_manipulation,condition,VOT manipulation status,,str,normal | modified,NA/blank as parsed; preserve source conventions,See Schertz et al. (2023); production VOT/vowel landmarks manually annotated,source-defined; not inferred where undocumented,experiment,OSF zve4c data.zip; source-faithful variable inventory,Do not combine macro and micro VOT units without source-specific harmonization.,5219,2
schertz_adil_kravchuk_2023,data.zip::macro_production.txt,table,stimA,stimulus_reference,stimulus,Stimulus file/reference,,str,MS_exp1_normal_T4.mp3 | MS_exp1_normal_T8.mp3 | MS_exp1_normal_T11.mp3 | MS_exp1_normal_T13.mp3,NA/blank as parsed; preserve source conventions,See Schertz et al. (2023); production VOT/vowel landmarks manually annotated,source-defined; not inferred where undocumented,stimulus,OSF zve4c data.zip; source-faithful variable inventory,Do not combine macro and micro VOT units without source-specific harmonization.,5219,4
schertz_adil_kravchuk_2023,data.zip::macro_production.txt,table,talkerA,stimulus_talker,stimulus,Stimulus talker identifier,,str,T4 | T8 | T11 | T13,NA/blank as parsed; preserve source conventions,See Schertz et al. (2023); production VOT/vowel landmarks manually annotated,source-defined; not inferred where undocumented,stimulus,OSF zve4c data.zip; source-faithful variable inventory,Do not combine macro and micro VOT units without source-specific harmonization.,5219,4
schertz_adil_kravchuk_2023,data.zip::macro_production.txt,table,stimB,stimulus_reference,stimulus,Stimulus file/reference,,str,MS_exp1_long_T13.mp3 | MS_exp1_short_T13.mp3 | MS_exp1_short_T8.mp3 | MS_exp1_long_T8.mp3 | MS_exp1_short_T11.mp3 | MS_exp1_long_T11.mp3 | MS_exp1_short_T4.mp3 | MS_exp1_long_T4.mp3,NA/blank as parsed; preserve source conventions,See Schertz et al. (2023); production VOT/vowel landmarks manually annotated,source-defined; not inferred where undocumented,stimulus,OSF zve4c data.zip; source-faithful variable inventory,Do not combine macro and micro VOT units without source-specific harmonization.,5219,8
schertz_adil_kravchuk_2023,data.zip::macro_production.txt,table,talkerB,stimulus_talker,stimulus,Stimulus talker identifier,,str,T13 | T8 | T11 | T4,NA/blank as parsed; preserve source conventions,See Schertz et al. (2023); production VOT/vowel landmarks manually annotated,source-defined; not inferred where undocumented,stimulus,OSF zve4c data.zip; source-faithful variable inventory,Do not combine macro and micro VOT units without source-specific harmonization.,5219,4
schertz_adil_kravchuk_2023,data.zip::macro_production.txt,table,sen,sentence_text,stimulus,Sentence text,,str,"Coffee, toast, eggs, and cereal are what I ate this morning. | Pickles, tomatoes, peppers, and beets are in our backyard. | Pilots, conductors, captains and drivers require training. | Tuna, pasta, cookies and carrots are all foods that I enjoy. | Panda, camel, tiger and goose are all names for animals. | Cow, pig, chicken and turkey are four different kinds of livestock. | Kitchens, toilets, carpets and curtains can be found in most houses. | Plates, towels, clothes and cups are found in my cupboard.",NA/blank as parsed; preserve source conventions,See Schertz et al. (2023); production VOT/vowel landmarks manually annotated,source-defined; not inferred where undocumented,utterance,OSF zve4c data.zip; source-faithful variable inventory,Do not combine macro and micro VOT units without source-specific harmonization.,5219,8
schertz_adil_kravchuk_2023,data.zip::macro_production.txt,table,senRep,sentence_metadata,stimulus,Sentence/stimulus metadata,,int64,1 | 2,NA/blank as parsed; preserve source conventions,See Schertz et al. (2023); production VOT/vowel landmarks manually annotated,source-defined; not inferred where undocumented,utterance,OSF zve4c data.zip; source-faithful variable inventory,Do not combine macro and micro VOT units without source-specific harmonization.,5219,2
schertz_adil_kravchuk_2023,data.zip::macro_production.txt,table,voice,voice_condition,condition,Voice/talker condition,,str,diffVoice | sameVoice,NA/blank as parsed; preserve source conventions,See Schertz et al. (2023); production VOT/vowel landmarks manually annotated,source-defined; not inferred where undocumented,experiment,OSF zve4c data.zip; source-faithful variable inventory,Do not combine macro and micro VOT units without source-specific harmonization.,5219,2
