source_id,source_file,upstream_blob_sha,prompt,text,style,utterance_start_s,utterance_end_s,segment_index,original_label,source_relative_end_s
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0017,Ich glaube du hast mir eine Frage gestellt.,angry,56.28,60.36,1,H#,0.536751
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0017,Ich glaube du hast mir eine Frage gestellt.,angry,56.28,60.36,2,?,0.563773
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0017,Ich glaube du hast mir eine Frage gestellt.,angry,56.28,60.36,3,I,0.61
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0017,Ich glaube du hast mir eine Frage gestellt.,angry,56.28,60.36,4,C,0.745556
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0017,Ich glaube du hast mir eine Frage gestellt.,angry,56.28,60.36,5,g,0.809603
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0017,Ich glaube du hast mir eine Frage gestellt.,angry,56.28,60.36,6,l,0.86
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0017,Ich glaube du hast mir eine Frage gestellt.,angry,56.28,60.36,7,aU,0.995507
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0017,Ich glaube du hast mir eine Frage gestellt.,angry,56.28,60.36,8,b,1.055
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0017,Ich glaube du hast mir eine Frage gestellt.,angry,56.28,60.36,9,@,1.098681
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0017,Ich glaube du hast mir eine Frage gestellt.,angry,56.28,60.36,10,d,1.148507
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0017,Ich glaube du hast mir eine Frage gestellt.,angry,56.28,60.36,11,u:,1.232562
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0017,Ich glaube du hast mir eine Frage gestellt.,angry,56.28,60.36,12,h,1.28722
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0017,Ich glaube du hast mir eine Frage gestellt.,angry,56.28,60.36,13,a,1.33
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0017,Ich glaube du hast mir eine Frage gestellt.,angry,56.28,60.36,14,s,1.416187
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0017,Ich glaube du hast mir eine Frage gestellt.,angry,56.28,60.36,15,t,1.484568
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0017,Ich glaube du hast mir eine Frage gestellt.,angry,56.28,60.36,16,m,1.504622
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0017,Ich glaube du hast mir eine Frage gestellt.,angry,56.28,60.36,17,i:,1.539014
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0017,Ich glaube du hast mir eine Frage gestellt.,angry,56.28,60.36,18,6,1.57
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0017,Ich glaube du hast mir eine Frage gestellt.,angry,56.28,60.36,19,?,1.585
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0017,Ich glaube du hast mir eine Frage gestellt.,angry,56.28,60.36,20,aI,1.665
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0017,Ich glaube du hast mir eine Frage gestellt.,angry,56.28,60.36,21,n,1.715
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0017,Ich glaube du hast mir eine Frage gestellt.,angry,56.28,60.36,22,@,1.79
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0017,Ich glaube du hast mir eine Frage gestellt.,angry,56.28,60.36,23,f,1.88
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0017,Ich glaube du hast mir eine Frage gestellt.,angry,56.28,60.36,24,R,1.97
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0017,Ich glaube du hast mir eine Frage gestellt.,angry,56.28,60.36,25,a:,2.125
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0017,Ich glaube du hast mir eine Frage gestellt.,angry,56.28,60.36,26,g,2.181559
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0017,Ich glaube du hast mir eine Frage gestellt.,angry,56.28,60.36,27,@,2.226227
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0017,Ich glaube du hast mir eine Frage gestellt.,angry,56.28,60.36,28,g,2.291329
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0017,Ich glaube du hast mir eine Frage gestellt.,angry,56.28,60.36,29,@,2.338613
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0017,Ich glaube du hast mir eine Frage gestellt.,angry,56.28,60.36,30,S,2.472494
