source_id,file_or_table,original_variable,standardized_variable,variable_domain,description,units,datatype,coding_or_levels,missing_value_conventions,measurement_or_annotation_method,time_reference_or_window,anatomical_or_acoustic_target,provenance,notes
mandi_zhao_chodroff_2022,OSF corpus,recording_id,recording_id,recording,Recording/file identifier,,string,,,,whole recording,,repository/paper,"Exact source field name to verify during file audit; do not overwrite source-faithful name."
mandi_zhao_chodroff_2022,OSF corpus,speaker_id,speaker_id,speaker,Speaker identifier,,string,,,,speaker-level,,repository/paper,"Namespace as mandi_zhao_chodroff_2022::source_speaker_id."
mandi_zhao_chodroff_2022,OSF corpus,dialect,language_variety,language,Standard Mandarin or one of six regional Mandarin varieties,,categorical,"Standard; Beijing; Chengdu; Jinan; Taiyuan; Wuhan; Xi'an",,,,paper,"Retain source label exactly and harmonized variety separately."
mandi_zhao_chodroff_2022,OSF corpus,task,task,experimental_condition,Recording material/task,,categorical,"monosyllabic word; disyllabic word; sentence; passage; poem",,,,paper,
mandi_zhao_chodroff_2022,alignment,utterance_start,utterance_start_s,temporal,Utterance onset boundary,s,numeric,,,automatic alignment followed by manual checking,utterance onset,,paper,"Manual-core eligible at utterance level."
mandi_zhao_chodroff_2022,alignment,utterance_end,utterance_end_s,temporal,Utterance offset boundary,s,numeric,,,automatic alignment followed by manual checking,utterance offset,,paper,"Manual-core eligible at utterance level."
mandi_zhao_chodroff_2022,alignment,utterance_label,utterance_label,annotation,Recording-level transcript/utterance label,,string,,,recording-level transcript aligned and manually checked,utterance interval,,paper,
mandi_zhao_chodroff_2022,phone tier,phone_label,segment_label,annotation,Phone label from MFA/Praat tier,,string,,,MFA-generated phone alignment,phone interval,,paper,"NOT manual-core by default; retain only as automatic source-specific annotation unless targeted manual correction is documented."
mandi_zhao_chodroff_2022,phone tier,phone_start,segment_start_s,temporal,Phone onset boundary,s,numeric,,,MFA-generated; targeted sonorant boundaries manually checked/corrected for monosyllabic Word List 1,phone onset,,paper,"Manual-core eligibility only for the explicitly corrected sonorant subset."
mandi_zhao_chodroff_2022,phone tier,phone_end,segment_end_s,temporal,Phone offset boundary,s,numeric,,,MFA-generated; targeted sonorant boundaries manually checked/corrected for monosyllabic Word List 1,phone offset,,paper,"Manual-core eligibility only for the explicitly corrected sonorant subset."
mandi_zhao_chodroff_2022,metadata,recording_device,recording_device,equipment,Participant-controlled smartphone/device information where supplied,,string,,,,recording-level,,paper,"Preserve exact device metadata if present in OSF files."
