priority,source_id,next_action,primary_targets,reason
1,ccost_2026,"download licensed audio/TextGrids; build token/context table; re-extract canonical trajectories/events","VV_CARRYOVER|VV_ANTICIPATORY|CV_PLACE|VC_EFFECT|NASAL|LARYNGEAL|VOT_VOWEL|LABIALIZATION|RHOTIC_LATERAL|TEMPORAL","49 speakers, ~12 hours, manually corrected phone alignment, broad spontaneous+controlled context"
2,l2_arctic_manual_subset,"obtain gated manual subset; ingest corrected word/phone boundaries; re-extract canonical acoustics","VV_CARRYOVER|VV_ANTICIPATORY|CV_PLACE|VC_EFFECT|NASAL|LARYNGEAL|VOT_VOWEL|LABIALIZATION|RHOTIC_LATERAL|TEMPORAL","24 speakers and manually corrected phone-level subset; useful L2 sensitivity layer"
3,parker_sonority_2008_2019,"normalize manual segment intervals and speaker metadata; re-extract canonical acoustics from CC-BY WAV","CV_PLACE|VC_EFFECT|LARYNGEAL|VOT_VOWEL|LABIALIZATION|RHOTIC_LATERAL|TEMPORAL","open audio plus manual segmentation"
4,cohn_zellou_2023_clear_speech,"map released F1-F3/A1-P0 trajectories and target contexts into canonical long format","NASAL|TEMPORAL|CV_PLACE|LABIALIZATION|RHOTIC_LATERAL","27 speakers; nasal trajectories already available"
5,schertz_adil_kravchuk_2023,"map burst/voicing-onset/vowel-offset landmarks to events table and derive VOT","VOT_VOWEL|TEMPORAL|LARYNGEAL","42 speakers; manual acoustic landmarks already available"
6,pavoque,"run scripts/pavoque_to_canonical.py on all manually corrected style YAML files; validate token/event batch; then re-extract acoustics where useful","VV_CARRYOVER|VV_ANTICIPATORY|CV_PLACE|VC_EFFECT|NASAL|LARYNGEAL|VOT_VOWEL|LABIALIZATION|RHOTIC_LATERAL|TEMPORAL","canonical converter now exists; all corrected phone boundaries can populate tokens/events without inventing unmapped IPA; one speaker limits population inference"
7,mitra_dutta_2023_bengali_english,"map five-point F1/F2 trajectories, bilingual speaker IDs, production language and controlled segment context","CV_PLACE|LABIALIZATION|RHOTIC_LATERAL|TEMPORAL","trajectory data already present and bilingual structure is analytically useful"
8,ohio_state_stories,"map lexical/phonetic context around hand-corrected target vowels without treating unverified forced-aligned boundaries as manual","CV_PLACE|LABIALIZATION|RHOTIC_LATERAL|TEMPORAL","45 speakers and large target-vowel sample"
9,cox_dideriksen_kerenportnoy_2023_danish_ids,"inspect released derived table for adjacent context; normalize vowel duration/F1/F2","TEMPORAL|VV_CARRYOVER|VV_ANTICIPATORY|CV_PLACE","9,267 manually bounded vowels; no public audio"
10,chaturvedi_shaw_2025_vowel_errors,"map controlled stimulus context and hand-corrected formants/boundaries","TEMPORAL|CV_PLACE|LABIALIZATION|RHOTIC_LATERAL","fully corrected vowel segmentation/formants"
11,swehvd_2023_2024,"normalize F1-F3 trajectories and durations as temporal/control dataset","TEMPORAL","9,979 vowels across 48 speakers; fixed hVd context limits coarticulation contrasts"
12,carignan_earbuds_nasalance_2024,"map nasalance trajectory and manual word/phone boundaries; retain as validation rather than population dataset","NASAL|TEMPORAL","excellent manual segmentation but one speaker"
