source_id,file_table,original_variable,standardized_variable,variable_domain,description,units,datatype,coding_levels,missing_value_conventions,measurement_annotation_method,time_reference_window,anatomical_acoustic_target,provenance,notes
tal_corpus_ultrasuite,prompt_txt,prompt,stimulus_text,lexical_stimulus,"Prompt/transcription text associated with utterance",,string,,,source prompt or human transcription,utterance,,UltraSuite TaL documentation,"For spontaneous speech the text is human transcription; preserve verbatim."
tal_corpus_ultrasuite,prompt_txt,datetime,recording_datetime,recording_metadata,"Recording datetime stored with prompt",,datetime,,,source recording metadata,recording,,,"Retain source representation when parsed."
tal_corpus_ultrasuite,spontaneous_lab,start,start_time_seconds,temporal,"Manual short-segment start boundary",seconds,numeric,,,manual annotation,"within spontaneous utterance",speech segment,TaL .lab,"Manual segmentation typically creates 5-10 s segments."
tal_corpus_ultrasuite,spontaneous_lab,end,end_time_seconds,temporal,"Manual short-segment end boundary",seconds,numeric,,,manual annotation,"within spontaneous utterance",speech segment,TaL .lab,"Do not replace with automatic boundaries."
tal_corpus_ultrasuite,spontaneous_lab,transcription,transcription_original,annotation,"Human transcription for manually bounded spontaneous segment",,string,,,manual transcription,"manual segment interval",speech,TaL .lab,"Preserve verbatim; no IPA invention."
tal_corpus_ultrasuite,ultrasound_param,TimeInSecsOfFirstFrame,ultrasound_first_frame_offset_seconds,articulatory_metadata,"First ultrasound frame time relative to waveform",seconds,numeric,,,hardware synchronization metadata,"relative to waveform start",ultrasound tongue imaging,TaL .param,"Needed to synchronize articulatory trajectory to audio."
tal_corpus_ultrasuite,ultrasound_ult,frame,ultrasound_frame,articulatory,"Raw ultrasound tongue image frame",,binary_array,,,primary ultrasound acquisition,"frame sequence; timing from .param/.sync",tongue,TaL .ult,"Preserve every frame; no midpoint reduction."
tal_corpus_ultrasuite,sync_waveform,sync_signal,synchronization_signal,equipment,"Hardware synchronization waveform for video/ultrasound alignment",amplitude,time_series,,,hardware acquisition,"audio time base",synchronization channel,TaL .sync,"Retain raw signal/reference; first portion video sync and delayed portion ultrasound sync."
tal_corpus_ultrasuite,audio_wav,waveform,audio_waveform,acoustic,"Primary speech waveform",amplitude,time_series,,,primary recording,"recording time base",speech acoustics,TaL .wav,"Large audio remains remote; retain manifest and authoritative path."
tal_corpus_ultrasuite,video_mp4,video,lip_video,articulatory,"Synchronized extraoral lip video",,video_stream,,,primary video acquisition,"recording time base",lips,TaL .mp4,"Video metadata embedded in MP4."
