source_id,source_file,upstream_blob_sha,prompt,text,style,utterance_start_s,utterance_end_s,segment_index,original_label,original_cumulative_end_s,normalized_ipa,annotation_status,provenance
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0018,Ich kann Fragen nicht beantworten – erzähl mir einfach etwas und ich werde antworten.,angry,60.36,66.96,1,H#,0.542247,,manually_corrected,upstream YAML; source values preserved
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0018,Ich kann Fragen nicht beantworten – erzähl mir einfach etwas und ich werde antworten.,angry,60.36,66.96,2,?,0.59,,manually_corrected,upstream YAML; source values preserved
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0018,Ich kann Fragen nicht beantworten – erzähl mir einfach etwas und ich werde antworten.,angry,60.36,66.96,3,I,0.69,,manually_corrected,upstream YAML; source values preserved
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0018,Ich kann Fragen nicht beantworten – erzähl mir einfach etwas und ich werde antworten.,angry,60.36,66.96,4,C,0.819819,,manually_corrected,upstream YAML; source values preserved
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0018,Ich kann Fragen nicht beantworten – erzähl mir einfach etwas und ich werde antworten.,angry,60.36,66.96,5,k,0.930411,,manually_corrected,upstream YAML; source values preserved
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0018,Ich kann Fragen nicht beantworten – erzähl mir einfach etwas und ich werde antworten.,angry,60.36,66.96,6,a,0.995,,manually_corrected,upstream YAML; source values preserved
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0018,Ich kann Fragen nicht beantworten – erzähl mir einfach etwas und ich werde antworten.,angry,60.36,66.96,7,n,1.075,,manually_corrected,upstream YAML; source values preserved
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0018,Ich kann Fragen nicht beantworten – erzähl mir einfach etwas und ich werde antworten.,angry,60.36,66.96,8,f,1.155,,manually_corrected,upstream YAML; source values preserved
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0018,Ich kann Fragen nicht beantworten – erzähl mir einfach etwas und ich werde antworten.,angry,60.36,66.96,9,R,1.229421,,manually_corrected,upstream YAML; source values preserved
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0018,Ich kann Fragen nicht beantworten – erzähl mir einfach etwas und ich werde antworten.,angry,60.36,66.96,10,a:,1.385,,manually_corrected,upstream YAML; source values preserved
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0018,Ich kann Fragen nicht beantworten – erzähl mir einfach etwas und ich werde antworten.,angry,60.36,66.96,11,g,1.452338,,manually_corrected,upstream YAML; source values preserved
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0018,Ich kann Fragen nicht beantworten – erzähl mir einfach etwas und ich werde antworten.,angry,60.36,66.96,12,@,1.457251,,manually_corrected,upstream YAML; source values preserved
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0018,Ich kann Fragen nicht beantworten – erzähl mir einfach etwas und ich werde antworten.,angry,60.36,66.96,13,n,1.492254,,manually_corrected,upstream YAML; source values preserved
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0018,Ich kann Fragen nicht beantworten – erzähl mir einfach etwas und ich werde antworten.,angry,60.36,66.96,14,n,1.525,,manually_corrected,upstream YAML; source values preserved
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0018,Ich kann Fragen nicht beantworten – erzähl mir einfach etwas und ich werde antworten.,angry,60.36,66.96,15,I,1.585,,manually_corrected,upstream YAML; source values preserved
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0018,Ich kann Fragen nicht beantworten – erzähl mir einfach etwas und ich werde antworten.,angry,60.36,66.96,16,C,1.653148,,manually_corrected,upstream YAML; source values preserved
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0018,Ich kann Fragen nicht beantworten – erzähl mir einfach etwas und ich werde antworten.,angry,60.36,66.96,17,t,1.685695,,manually_corrected,upstream YAML; source values preserved
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0018,Ich kann Fragen nicht beantworten – erzähl mir einfach etwas und ich werde antworten.,angry,60.36,66.96,18,b,1.753792,,manually_corrected,upstream YAML; source values preserved
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0018,Ich kann Fragen nicht beantworten – erzähl mir einfach etwas und ich werde antworten.,angry,60.36,66.96,19,@,1.79439,,manually_corrected,upstream YAML; source values preserved
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0018,Ich kann Fragen nicht beantworten – erzähl mir einfach etwas und ich werde antworten.,angry,60.36,66.96,20,?,1.837377,,manually_corrected,upstream YAML; source values preserved
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0018,Ich kann Fragen nicht beantworten – erzähl mir einfach etwas und ich werde antworten.,angry,60.36,66.96,21,a,1.925,,manually_corrected,upstream YAML; source values preserved
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0018,Ich kann Fragen nicht beantworten – erzähl mir einfach etwas und ich werde antworten.,angry,60.36,66.96,22,n,1.982918,,manually_corrected,upstream YAML; source values preserved
