source_id,source_object,original_variable,standardized_variable,variable_domain,description,units,datatype,time_reference_or_window,target,provenance,notes
tang_parrell_niziolek_2022_variability,dataVals,f0,F0_Hz,acoustic_pitch,"Token-level F0 contour retained in participant MATLAB trial structures",Hz,numeric_vector,"source pitch_taxis",vowel/utterance acoustic signal,RELEASED_MEASUREMENT,"Raw field preserved; median vector length in audited trial sample ~5161 points"
tang_parrell_niziolek_2022_variability,dataVals,f1,F1_Hz,acoustic_formant,"Token-level F1 trajectory",Hz,numeric_vector,"source ftrack_taxis",vowel,MANUALLY_CHECKED_FORMANT_TRACK,"Paper reports manual correction of formant tracking errors; audited vectors vary by token"
tang_parrell_niziolek_2022_variability,dataVals,f2,F2_Hz,acoustic_formant,"Token-level F2 trajectory",Hz,numeric_vector,"source ftrack_taxis",vowel,MANUALLY_CHECKED_FORMANT_TRACK,"Paper reports manual correction of formant tracking errors"
tang_parrell_niziolek_2022_variability,dataVals,int,intensity_source,acoustic_intensity,"Token-level intensity/amplitude-derived trajectory retained under source field name",source_units,numeric_vector,"source ampl_taxis",acoustic signal,RELEASED_MEASUREMENT,"Do not infer dB units until source code/documentation confirms"
tang_parrell_niziolek_2022_variability,dataVals,pitch_taxis,pitch_time_axis,temporal,"Time axis corresponding to F0 trajectory",seconds_or_source_time,numeric_vector,"token acoustic timeline",F0,RELEASED_METADATA,"Preserve source values; unit mapping requires code confirmation"
tang_parrell_niziolek_2022_variability,dataVals,ftrack_taxis,formant_time_axis,temporal,"Time axis corresponding to F1/F2 trajectories",seconds_or_source_time,numeric_vector,"token acoustic timeline",formants,RELEASED_METADATA,"F1/F2/ftrack_taxis have matched vector lengths within audited trials"
tang_parrell_niziolek_2022_variability,dataVals,ampl_taxis,amplitude_time_axis,temporal,"Time axis corresponding to intensity/amplitude trajectory",seconds_or_source_time,numeric_vector,"token acoustic timeline",intensity,RELEASED_METADATA,
tang_parrell_niziolek_2022_variability,dataVals,dur,duration_source,temporal,"Token/vowel duration field",source_units,numeric_scalar,"token",vowel,RELEASED_MEASUREMENT,"Do not convert units until confirmed from source code"
tang_parrell_niziolek_2022_variability,dataVals,word,word_code,stimulus,"Numeric source word code",source_code,integer,"trial",lexical item,RELEASED_METADATA,"Resolve against expt allWords/listWords rather than guessing"
tang_parrell_niziolek_2022_variability,dataVals,vowel,vowel_code,linguistic,"Numeric source vowel code",source_code,integer,"trial",vowel,RELEASED_METADATA,"Resolve against expt allVowels/listVowels"
