source_id,path,sheet,original_variable,standardized_variable,variable_domain,description,units,dtype,coding_levels,missing_value_conventions,measurement_annotation_method,time_reference_window,acoustic_or_annotation_target,provenance,notes,n_nonmissing,n_unique
tang_parrell_niziolek_2022_variability,OSF_STJC9,documented,participant,source_speaker_id,speaker,Participant identifier,,unknown,,source-defined,Paper reports 87 participants; exact OSF coding pending file parse,experiment-wide,speaker,"Tang et al. 2022 paper + OSF STJC9",Namespace as source_id::source_speaker_id after parse,,87
tang_parrell_niziolek_2022_variability,OSF_STJC9,documented,experiment,experiment,condition,Experiment number,,integer,1|2|3|4,source-defined,Study design,experiment-wide,experiment,"Tang et al. 2022 paper + OSF STJC9","Ns 24,22,21,20",87,4
tang_parrell_niziolek_2022_variability,OSF_STJC9,documented,stimulus_word,lexical_item,lexical,Displayed target word,,string,"bead|bad|bod (Exp 1/2/4); bead|bad|bed (Exp 3)",source-defined,Controlled word-reading prompt,trial,word,"Tang et al. 2022 paper + OSF STJC9",Preserve original spelling and map vowel only when source documentation licenses mapping,,4
tang_parrell_niziolek_2022_variability,OSF_STJC9,documented,phase,phase,condition,Experimental phase,,string,baseline|exposure|washout,source-defined,Study design,trial,experiment,"Tang et al. 2022 paper + OSF STJC9",Experiment 4 has sequential inward/outward exposure structure; preserve exact source coding,,3
tang_parrell_niziolek_2022_variability,OSF_STJC9,documented,perturbation_type,perturbation_type,condition,Auditory F1/F2 variability perturbation,,string,inward-pushing|outward-pushing|large-outward-pushing|none,source-defined,Audapter real-time perturbation,trial,auditory feedback,"Tang et al. 2022 paper + OSF STJC9",Retain experiment-specific magnitude separately,,4
tang_parrell_niziolek_2022_variability,OSF_STJC9,documented,perturbation_magnitude,perturbation_magnitude,condition,Percentage of distance from current produced F1/F2 to participant-specific vowel target,percent,double,50|75|200,source-defined,Audapter participant-specific perturbation field,exposure trial,auditory feedback,"Tang et al. 2022 paper + OSF STJC9",Exact coding for experiment 4 to be read from source files,,3
tang_parrell_niziolek_2022_variability,OSF_STJC9,documented,F1,F1,acoustic,Produced first formant frequency,Hz and/or mel,double,,source-defined,Tracked offline with wave_viewer/Praat; LPC and pre-emphasis adjusted individually,within target vowel,vowel,"Tang et al. 2022 paper + OSF STJC9",Preserve raw Hz and transformed mel fields separately if both deposited,,
tang_parrell_niziolek_2022_variability,OSF_STJC9,documented,F2,F2,acoustic,Produced second formant frequency,Hz and/or mel,double,,source-defined,Tracked offline with wave_viewer/Praat; LPC and pre-emphasis adjusted individually,within target vowel,vowel,"Tang et al. 2022 paper + OSF STJC9",Preserve raw Hz and transformed mel fields separately if both deposited,,
tang_parrell_niziolek_2022_variability,OSF_STJC9,documented,vowel_onset,vowel_onset,event,Vowel onset landmark,time,unknown,,source-defined,Participant-specific amplitude threshold followed by manual correction of erroneous landmarks using waveform and spectrogram,token,event,"Tang et al. 2022 paper + OSF STJC9",Manual-correction provenance must remain explicit,,
tang_parrell_niziolek_2022_variability,OSF_STJC9,documented,vowel_offset,vowel_offset,event,Vowel offset landmark,time,unknown,,source-defined,Participant-specific amplitude threshold followed by manual correction of erroneous landmarks using waveform and spectrogram,token,event,"Tang et al. 2022 paper + OSF STJC9",Manual-correction provenance must remain explicit,,
tang_parrell_niziolek_2022_variability,OSF_STJC9,documented,production_error,production_error,annotation,Manual production-error screening,,boolean/string,,source-defined,All trials manually checked for production errors,trial,utterance,"Tang et al. 2022 paper + OSF STJC9",Preserve source reason/exclusion code where present,,
tang_parrell_niziolek_2022_variability,OSF_STJC9,documented,trial,trial_index,trial,Trial index within experiment/phase,,integer,,source-defined,Experimental trial sequence,trial,trial,"Tang et al. 2022 paper + OSF STJC9",Needed to retain adaptation dynamics rather than phase averages,,
