phenomenon,source,effect,estimate,se_or_approx_se,unit_or_scale,interpretation
NASAL,Cohn & Zellou 2023,Slow-clear vs casual,-0.83,0.312,A1-P0 coefficient,"Lower A1-P0 means more nasality; slow-clear speech shows greater anticipatory nasalization overall"
NASAL,Cohn & Zellou 2023,Timepoint,-1.55,0.134,A1-P0 coefficient per centered time step,"Nasality increases strongly toward the following nasal consonant"
NASAL,Cohn & Zellou 2023,Fast-clear x timepoint,0.43,0.136,A1-P0 interaction,"Fast-clear speech shows a shallower increase in anticipatory nasalization than casual speech"
VOT_VOWEL,Schertz et al. 2023,Overall VOT imitation,18.469,2.932,ms,"Participants shift VOT in the expected direction by about 18 ms overall"
VOT_VOWEL,Schertz et al. 2023,Session,10.141,1.865,ms,"More VOT imitation in session 2"
VOT_VOWEL,Schertz et al. 2023,Talker match,-1.881,1.865,ms,"No clear overall main effect"
VOT_VOWEL,Schertz et al. 2023,Accent type,-5.905,5.375,ms,"No clear overall main effect across all words"
VOT_VOWEL,Schertz et al. 2023,Session x talker,23.583,10.071,ms,"Talker variability interacts with session"
VOT_VOWEL,Schertz et al. 2023,Session x accent,-4.240,2.667,ms,"No clear interaction"
VOT_VOWEL,Schertz et al. 2023,Talker x accent,-0.481,2.676,ms,"No clear interaction"
VOT_VOWEL,Schertz et al. 2023,Session x talker x accent,-39.172,15.191,ms,"Three-way interaction indicates condition-specific VOT imitation"
TEMPORAL,Schertz et al. 2023,Vowel-duration intercept,6.53,1.599,ms,"Modified-VOT productions have longer following vowels overall"
TEMPORAL,Schertz et al. 2023,Session,0.216,1.275,ms,"No session main effect"
TEMPORAL,Schertz et al. 2023,Talker match,-3.853,1.275,ms,"Smaller vowel-duration difference with different voices"
TEMPORAL,Schertz et al. 2023,Accent type,-13.524,2.317,ms,"Strong asymmetry: vowel lengthening accompanies lengthened VOT but not shortened VOT"
TEMPORAL,Schertz et al. 2023,Session x talker,10.345,5.618,ms,"Trend-level interaction"
TEMPORAL,Schertz et al. 2023,Session x accent,0.316,2.342,ms,"No clear interaction"
TEMPORAL,Schertz et al. 2023,Talker x accent,-2.746,2.342,ms,"No clear interaction"
TEMPORAL,Schertz et al. 2023,Session x talker x accent,-5.834,8.087,ms,"No clear three-way interaction"
