source_id,recording_id,prompt,text_original,style,utterance_start_s,utterance_end_s,segment_index,label_original,segment_start_rel_s,segment_end_rel_s,segment_start_abs_s,segment_end_abs_s,annotation_provenance,source_file,source_blob_sha
pavoque,pavoque::spike0006,spike0006,"Also, in welchem Zustand bist du heute?",angry,20.16,24.0,1,H#,0,0.387589,20.16,20.547589,manually corrected phonetic segments (author documentation),pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0006,spike0006,"Also, in welchem Zustand bist du heute?",angry,20.16,24.0,2,?,0.387589,0.437957,20.547589,20.597957,manually corrected phonetic segments (author documentation),pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0006,spike0006,"Also, in welchem Zustand bist du heute?",angry,20.16,24.0,3,a,0.437957,0.512895,20.597957,20.672895,manually corrected phonetic segments (author documentation),pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0006,spike0006,"Also, in welchem Zustand bist du heute?",angry,20.16,24.0,4,l,0.512895,0.555,20.672895,20.715,manually corrected phonetic segments (author documentation),pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0006,spike0006,"Also, in welchem Zustand bist du heute?",angry,20.16,24.0,5,z,0.555,0.598275,20.715,20.758275,manually corrected phonetic segments (author documentation),pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0006,spike0006,"Also, in welchem Zustand bist du heute?",angry,20.16,24.0,6,o:,0.598275,0.802819,20.758275,20.962819,manually corrected phonetic segments (author documentation),pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0006,spike0006,"Also, in welchem Zustand bist du heute?",angry,20.16,24.0,7,?,0.802819,0.89557,20.962819,21.05557,manually corrected phonetic segments (author documentation),pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0006,spike0006,"Also, in welchem Zustand bist du heute?",angry,20.16,24.0,8,I,0.89557,0.923211,21.05557,21.083211,manually corrected phonetic segments (author documentation),pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0006,spike0006,"Also, in welchem Zustand bist du heute?",angry,20.16,24.0,9,n,0.923211,0.982793,21.083211,21.142793,manually corrected phonetic segments (author documentation),pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0006,spike0006,"Also, in welchem Zustand bist du heute?",angry,20.16,24.0,10,v,0.982793,1.015,21.142793,21.175,manually corrected phonetic segments (author documentation),pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
